1,2.21268,5.85071
2,3,9
3,7.9029,9.98058
4,8,10
5,12.4721,12.2361
6,16.9443,14.4721
7,18,15
8,21.5355,18.5355
9,25.0711,22.0711
10,27,24
11,29.5725,28.2875
12,30,29
13,33.5355,32.5355
14,36,35
15,37.2127,39.8507
16,38,43
17,40,45
18,44.4721,47.2361
19,46,48
20,49.7629,51.2925
21,53.5258,54.585
22,54,55
23,55.857,59.6424
24,56,60
25,59,64
26,62,67
27,63.3736,71.8076
28,64,74
29,68.1603,76.7735
30,72.3205,79.547
31,73,80
32,76.7629,83.2925
33,80.5258,86.585
34,81,87
35,82.0847,91.8809
36,83,96
37,87.7891,97.4367
38,92.5783,98.8735
39,93,99
40,96.1235,102.904
41,99.247,106.809
42,101,109
43,104.841,112.201
44,107,114
45,111,116
46,114,120
47,117.123,123.904
48,118,125
49,120,127
50,122.031,131.569
51,124,136
52,128.24,133.35
53,132,131
54,133.756,126.318
55,135,123
56,138.123,119.096
57,141.247,115.191
58,143,113
59,147,111
60,150.716,107.655
61,154.433,104.31
62,157,102
63,160.796,98.746
64,164,96
65,165,93
66,168.947,89.9303
67,172.894,86.8606
68,174,86
69,175,83
70,177.428,78.6292
71,179.856,74.2584
72,180,74
73,183.796,70.746
74,187,68
75,187.498,63.0248
76,187.995,58.0496
77,188,58
78,189,57
79,193.808,55.6264
80,196,55
81,198.031,50.4309
82,200,46
83,204.642,44.143
84,209.285,42.2861
85,210,42
86,213.536,38.4645
87,215,37
88,219.95,36.2929
89,222,36
90,225.536,32.4645
91,229,29
92,230.085,24.1191
93,231,20
94,233.236,15.5279
95,235.472,11.0557
96,236,10
97,240.341,7.51931
98,243,6
99,246.322,2.26295
100,249.644,-1.47409
101,251,-3
102,255.743,-4.58114
103,260,-6
104,264.903,-6.98058
105,269.806,-7.96116
106,270,-8
107,272.774,-12.1603
108,274,-14
109,277.716,-17.3448
110,281.433,-20.6896
111,284,-23
112,288.903,-23.9806
113,289,-24
114,292.763,-27.2925
115,296.526,-30.585
116,297,-31
117,299.481,-35.3412
118,301,-38
119,302.581,-42.7434
120,303,-44
121,307.287,-46.5725
122,308,-47
123,308.498,-51.9752
124,308.995,-56.9504
125,309,-57
126,313.472,-59.2361
127,317,-61
128,321.682,-62.7556
129,325,-64
130,329.95,-64.7071
131,332,-65
132,333.374,-69.8076
133,334,-72
134,337,-76
135,340,-80
136,343.841,-83.2009
137,346,-85
138,348,-88
139,349,-89
140,350.857,-93.6424
141,351,-94
142,355.95,-94.7071
143,358,-95
144,362.851,-96.2127
145,366,-97
146,369.536,-100.536
147,373.071,-104.071
148,374,-105
149,377.536,-108.536
150,381.071,-112.071
151,382,-113
152,385.536,-116.536
153,386,-117
154,388.572,-121.287
155,391.145,-125.575
156,392,-127
157,395.716,-130.345
158,399.433,-133.69
159,402,-136
160,403.085,-140.881
161,404,-145
162,405.97,-140.404
163,407,-138
164,411.95,-137.293
165,414,-137
166,416.031,-132.431
167,418,-128
168,419,-126
169,421.236,-121.528
170,422,-120
171,422.498,-115.025
172,422.995,-110.05
173,423,-110
174,425.65,-105.76
175,428,-102
176,432.569,-99.9693
177,437,-98
178,441.743,-96.4189
179,443,-96
180,446,-95
181,447.374,-90.1924
182,448,-88
183,452.903,-87.0194
184,449.632,-90.8011
185,446.361,-94.5827
186,446,-95
187,443,-96
188,438.257,-97.5811
189,437,-98
190,432.431,-100.031
191,428,-102
192,425.35,-106.24
193,423,-110
194,422.502,-114.975
195,422.005,-119.95
196,422,-120
197,419.764,-124.472
198,419,-126
199,418,-128
200,415.969,-132.569
201,414,-137
202,409.05,-137.707
203,407,-138
204,405.03,-142.596
205,404,-145
206,402.915,-140.119
207,402,-136
208,398.284,-132.655
209,394.567,-129.31
210,392,-127
211,389.428,-122.713
212,386.855,-118.425
213,386,-117
214,382.464,-113.464
215,382,-113
216,378.464,-109.464
217,374.929,-105.929
218,374,-105
219,370.464,-101.464
220,366.929,-97.9289
221,366,-97
222,361.149,-95.7873
223,358,-95
224,353.05,-94.2929
225,351,-94
226,349.143,-89.3576
227,349,-89
228,348,-88
229,346,-85
230,342.159,-81.7991
231,340,-80
232,337,-76
233,334,-72
234,332.626,-67.1924
235,332,-65
236,327.05,-64.2929
237,325,-64
238,320.318,-62.2444
239,317,-61
240,312.528,-58.7639
241,309,-57
242,308.502,-52.0248
243,308.005,-47.0496
244,308,-47
245,303.713,-44.4275
246,303,-44
247,301.419,-39.2566
248,301,-38
249,298.519,-33.6588
250,297,-31
251,293.237,-27.7075
252,289.474,-24.415
253,289,-24
254,284.097,-23.0194
255,284,-23
256,280.284,-19.6552
257,276.567,-16.3104
258,274,-14
259,271.226,-9.83975
260,270,-8
261,265.097,-7.01942
262,260.194,-6.03884
263,260,-6
264,255.257,-4.41886
265,251,-3
266,247.678,0.737047
267,244.356,4.47409
268,243,6
269,238.659,8.48069
270,236,10
271,233.764,14.4721
272,231.528,18.9443
273,231,20
274,229.915,24.8809
275,229,29
276,225.464,32.5355
277,222,36
278,217.05,36.7071
279,215,37
280,211.464,40.5355
281,210,42
282,205.358,43.857
283,200.715,45.7139
284,200,46
285,197.969,50.5691
286,196,55
287,191.192,56.3736
288,189,57
289,188,58
290,187.502,62.9752
291,187.005,67.9504
292,187,68
293,183.204,71.254
294,180,74
295,177.572,78.3708
296,175.144,82.7416
297,175,83
298,174,86
299,170.053,89.0697
300,166.106,92.1394
301,165,93
302,164,96
303,160.204,99.254
304,157,102
305,153.284,105.345
306,149.567,108.69
307,147,111
308,143,113
309,139.877,116.904
310,136.753,120.809
311,135,123
312,133.244,127.682
313,132,131
314,127.76,133.65
315,124,136
316,121.969,131.431
317,120,127
318,118,125
319,114.877,121.096
320,114,120
321,111,116
322,107,114
323,103.159,110.799
324,101,109
325,97.8765,105.096
326,94.753,101.191
327,93,99
328,88.2109,97.5633
329,83.4217,96.1265
330,83,96
331,81.9153,91.1191
332,81,87
333,77.2371,83.7075
334,73.4742,80.415
335,73,80
336,68.8397,77.2265
337,64.6795,74.453
338,64,74
339,62.6264,69.1924
340,62,67
341,59,64
342,56,60
343,54.143,55.3576
344,54,55
345,50.2371,51.7075
346,46.4742,48.415
347,46,48
348,41.5279,45.7639
349,40,45
350,38,43
351,36.7873,38.1493
352,36,35
353,32.4645,31.4645
354,30,29
355,27.4275,24.7125
356,27,24
357,23.4645,20.4645
358,19.9289,16.9289
359,18,15
360,13.5279,12.7639
361,9.05573,10.5279
362,8,10
363,3.0971,9.01942
364,3,9
365,1.78732,4.14929
